"p_id","cellSize","Vimentin","SMA","Lag3","CD4","CD16","CD56","PD1","CD31","Ki67","CD209","CD11c","CD138","CD68","CSF-1R","CD8","CD3","IDO","Keratin17","CD63","CD45RO","CD20","p53","Beta catenin","HLA-DR","CD11b","CD45","H3K9ac","Pan-Keratin","H3K27me3","phospho-S6","MPO","Keratin6","HLA_Class_1","tumorYN","B7H3","FoxP3","OX40","PD-L1","EGFR","CD163"
"p32",0.0971633111336869,0.430178438577182,0.420042271716176,0.111324755456586,0.515109812605246,0.469952330200148,0.209545959398122,0.208132259144266,0.339917544746746,0.138378040573809,0.167435371688036,0.52285340415782,0.252306404814054,0.438823554463503,0.478679730786296,0.280326952818402,0.337754350040193,0.647956096148416,0.399505069949762,0.249668453057499,0.507925488496461,0.448541779034192,0.313257402064845,0.625753410524455,0.643593984307839,0.432354624643297,0.53980284720944,0.495833773738595,0.697561855574145,0.34715340831907,0.530188906028557,0.364347702156225,0.674023000825888,0.459169963722807,0.478182955103065,-0.000169903136744323,0.0291061946918023,0.0650169067601175,0.479599250195791,0.20883443921526,0.0183575121638839
"p33",0.0879635147008635,0.430096713623503,0.341692708134968,NA,0.157971513938801,0.182118357794291,-0.000546047269763651,0.0483729487648654,0.204746143847716,0.147574177314655,0.461413115385268,0.265775470093806,0.368569613833496,0.278664856991926,0.107574035618397,0.173530465671053,0.140241531696376,0.277455434236411,0.486338987841197,0.173423847837401,0.180233524829208,0.188332398012629,0.12245531041079,0.57052486539087,0.3463471841017,0.0983113737872775,0.293217245206969,0.154478378000341,0.681931536094308,0.396912990700122,0.350640621053128,0.0223890783479348,0.617739143098335,0.375963011264748,0.303360011056223,NA,NA,NA,0.429809165950993,0.424643422230443,0.101805952600462
"p34",0.235649628040558,0.212845644564689,0.350772490564103,0.0394999589877378,0.238615004929041,0.416742824368591,NA,0.130822082472651,0.185174522270115,NA,-0.000274372446001167,0.313413744433485,0.426236549652513,0.330086390368872,0.16404522072966,0.178995567328852,0.193416394589718,0.0910917212823408,0.473900854688845,0.633282443884931,0.475941204278978,0.183658637169865,0.0380234231522401,0.533018512177711,0.428394007434827,0.441287949950284,0.399726561788817,0.458721637586614,0.756964079013296,0.444861976513368,0.389746488656598,0.877052111377414,0.52974016626492,0.616043034928335,0.467215977300011,NA,NA,NA,0.22119044354184,0.736868864348317,NA
"p35",0.115652000197667,0.362089796668049,0.354594950480513,0.0203958067469658,0.532583469007528,0.139503398912672,0.193956934890418,0.271080470994035,0.395465541193025,0.112636182874244,0.300665103606806,0.429221002696663,0.0885128409564238,0.26222837418572,0.574690166204581,0.368191836054475,0.555440652604554,0.13904184754006,0.597663050714228,0.227362759964876,0.540646895115417,0.862449865799289,0.118933852304377,0.741387992923513,0.756635565195809,0.534425024755218,0.693196400191225,0.692181051422171,0.847318325672592,0.706428064733003,0.774714289074273,0.13834422043574,0.735892103060197,0.52386944550713,0.733842275879692,NA,NA,0.186062582996134,0.174226712094307,0.236632309516027,0.0659129082350412
"p37",0.139692720636553,0.463814796283553,0.46612506506249,0.0436712624481105,0.519065700358961,0.237985311166396,0.106913496982306,0.193025726930045,0.178407954494181,0.108951221039656,0.193548046158689,0.453762680125293,0.628830805347321,0.26276650736807,0.549150515800086,0.381821736534657,0.557260589767369,0.428212262895548,0.677967908054563,0.15426106549328,0.596694628384571,0.317459384803398,0.109295525899998,0.694432816456434,0.528058862293168,0.363700018723033,0.628154702419774,0.441213987219064,0.811872842666291,0.404397028282014,0.505476956121386,0.20304380768162,0.738366293305399,0.645998548232767,0.544284349476791,NA,0.12082119355558,0.310920266905615,0.333126695782583,0.232407306519393,0.0308962777282329
"p38",0.0718897633567262,0.437869271447323,0.360567792056872,0.113845034191673,0.169341178834506,0.352827231947569,NA,0.188833648999991,0.195555151466942,0.439371012049633,0.0574053566801417,0.271972878359404,0.500772991247211,0.302460265288507,0.253080927412419,0.191947553481912,0.228818965564142,0.176201641125651,0.395582314131701,0.190784808806191,0.312306285646157,0.112014873468643,0.378127533318941,0.443178851554606,0.463702190601396,0.275692506687086,0.41312713524426,0.469693412680939,0.463067227564557,0.464182241043685,0.39666211607177,0.14933963335656,0.574502854730275,0.537140415881904,0.351567607419549,NA,-0.00049437089939551,NA,0.342393665753349,0.415793897544301,0.0740129258554884
"p39",0.13909117241662,0.310466777913117,0.349699923906191,0.130864753191505,0.257896978653588,0.353652413181813,0.0297118444451921,0.135515334967242,0.304581836665344,0.173957045965769,0.215714668628302,0.387432855430625,0.480812564797963,0.656391559674031,0.24386285204532,0.250234592594056,0.254613052067471,0.624003105856912,0.499308585027909,0.491571923427182,0.456563801101565,0.256241888104869,0.0950225563160442,0.662185206591196,0.515491099253107,0.810070563759815,0.347526357516289,0.609761170798189,0.738178289711032,0.449792705869756,0.644638036165729,0.4920978430153,0.708375564772616,0.490984748417655,0.446730800446136,-0.000359890791759742,0.158521435105878,NA,0.210484298455068,0.0159631983104756,0.000306807345777011
"p4",0.0917539424048183,0.561062949435906,0.391708069922522,0.0671952401002753,0.413684638406772,0.400665056660526,0.200041773863352,0.177103446964246,0.217263195252975,0.0807777514108862,0.259530412001903,0.608761190396613,0.398136229669769,0.328998469057767,0.368160141927653,0.203845669860982,0.421272098071702,0.304076318092468,0.596664184852544,0.172175364586248,0.454405364738475,0.38379001424217,0.0103659616077288,0.669027363934246,0.460180201552739,0.182052248506963,0.616360080660668,0.375822046914523,0.280451561613132,0.319444449237447,0.520575545324258,0.222182929594892,0.73973053327168,0.687823784190744,0.716455362486259,NA,0.06122096639253,0.150063559472973,0.399768242273775,0.412489921554154,-0.000143029208069858
"p40",0.118396768912483,0.488024639144978,0.478888690400762,0.193852991307075,0.355133313086686,0.193393593561004,0.236065651986709,0.279904755303865,0.287271963083474,0.339998565093669,0.783143672502348,0.428490425794858,0.44604334549569,0.263744503471144,0.304643491460664,0.39601659147722,0.427872177690148,0.308479465042406,0.457971925961721,0.230701778580487,0.541108527464078,0.626340495554348,0.50985156793919,0.560391474133131,0.513238921491094,0.440074499894562,0.648019557090704,0.397431205073193,0.80167834383345,0.421915337252028,0.579453619530254,0.183264998747256,0.593526124540977,0.633411148278922,0.561673807726863,NA,0.0406294278046492,0.092184619432027,0.213503332362811,0.323441080387442,0.000628015089872381
"p41",0.0451964647013843,0.316285424982574,0.477230158049905,0.154282411533725,0.267398933046841,0.337203414250595,0.141838104493643,0.210244777423286,0.234305872163566,0.0427341711882793,0.0643965360325765,0.402799426594032,0.111312954746457,0.241979528396613,0.134953801359482,0.21349124493314,0.312608182250871,0.159679143411494,0.547890530658926,0.253048573974992,0.373197948935421,0.472067557834908,0.0128950152204202,0.655771849089788,0.415318838656318,0.129377695127107,0.510037034081906,0.285177416109406,0.646962817507185,0.36877499635503,0.367755977893958,0.194471764911538,0.51938783726589,0.481799237470606,0.454716114876193,NA,NA,0.261920451910957,0.113465343195557,-0.000209666740233943,0.00191160850766835
"p5",0.149436556741685,0.683695450485989,0.518228270259943,0.0977283892196363,0.363124472494365,0.460730215026694,0.0190878737351183,0.205231165682242,0.357508346328434,0.107780409363653,0.259979236632258,0.67993646285553,0.354299883638358,0.432205416224944,0.445467526333628,0.248866853033684,0.34209139715557,0.348901989684256,0.0733915468346458,0.30957141492126,0.464497841230002,0.116169804495988,-0.000169596053037311,0.65155182623092,0.696320856447704,0.391360533615776,0.580241414280176,0.482255422341184,0.551664759176629,0.269607082044864,0.49998798241584,0.374116092140524,0.633252749095398,0.83701117245592,0.624693717564081,0.0439213013611635,0.0466793684705623,0.0855209990104254,0.45958655746724,0.72010924130727,0.043200152775269
"p6",0.0921838246580396,0.477018094364716,0.306136817671925,0.149059591135122,0.342445624046663,0.469202949694744,NA,0.205711438678756,0.314563313178889,0.0806814184969378,0.167941381485581,0.632309111388341,0.16391433373528,0.320662252332721,0.323485740691366,0.236863272554628,0.353291307448617,0.45883061889154,0.541388535583637,0.156166584110599,0.460907151987644,0.272590378572153,0.403632133010219,0.663163275765428,0.637588238197252,0.399582705253602,0.660020741531539,0.520970193161525,0.454720983340259,0.422568685403738,0.471402690827315,0.0976829019545164,0.593673305657676,0.767198706050995,0.664324238013538,NA,-0.000540429452444016,0.0948250660913534,0.352031188482986,0.389656498644395,0.00595168174264032
"p7",0.0545914638748013,0.455086078197423,0.20988229628354,NA,-0.000409554904083863,0.323785236565002,NA,-0.000337342329128777,0.114245682645064,0.0173375359059355,NA,0.427880196988027,0.440804058150291,0.436046548744042,0.0576060514540114,0.0649359770960015,0.0128127308910407,NA,0.394349743919581,0.240035710914914,0.150655614289589,NA,0.0339625429896767,0.33979647316119,0.0946516455514995,0.147614463507336,0.286143413760274,0.371341950563332,0.386572703540046,0.333154127615284,0.48956620968388,0.184870454410158,0.532426403583891,0.429724702329056,0.342878987733476,NA,NA,NA,0.0781077914960715,0.274809635794446,0.101310857434088
"p8",0.0608531399893554,0.300649198107054,0.415486069889982,NA,0.0490590710312201,0.219026364728262,NA,0.0783402681322918,0.0213297669025691,0.146217559412259,NA,0.231890551117656,0.323217518966906,0.168086801528691,-0.00048517839198477,0.124224957455996,0.199999186713435,0.111491832260064,0.0939265310237977,0.122294147087687,0.170651597585314,0.137651320271065,NA,0.32148510218285,0.46233549034836,0.043446747832073,0.3715597627597,0.239750312379472,0.2782767218839,0.223390195737541,0.225774830418369,0.0933398590266433,0.3116220789544,0.533513545007665,0.289625475609485,NA,NA,NA,0.164518915570785,0.244909545567698,NA
"p9",0.113536000265901,0.549567617579203,0.367593203596781,0.126891972895581,0.407227249940004,0.529279754589483,0.0959009224510468,0.241309776856881,0.293097827464163,0.229351218693515,0.41884378797115,0.578555718349505,0.413333464443797,0.370366656685666,0.466761765809639,0.28526912589856,0.407423972928985,0.383389733048381,0.416762376774238,0.288374454489658,0.530748547600622,0.392889904922942,0.126295493475083,0.698848329091002,0.664799497846013,0.430350064634597,0.603876900057039,0.500194927538438,0.58853759402477,0.320385298233573,0.592189318459129,0.290697862699037,0.516614659365654,0.575143805539729,0.640179197579272,NA,0.0385217233209556,0.23151636508868,0.541088129198905,0.229644303246893,0.0958812134832107
